exercise_id,entity_1,entity_2,x_text,x_dep,x_type,label
1,Airplane,Flight,0.7213141918182373,0.333,0.5782065558809321,1
1,Airplane,Crew,0.6219233274459839,0.25,0.9999092042625951,0
1,Flight,Crew,0.6302369832992554,0.25,0.9999998988693781,1
2,Transportation Mode,Carrier,0.44836369156837463,0.25,0.9999999958776927,0
2,Transportation Mode,Multimodal Transportation Task,0.7206305265426636,1.0,0.9999999958776927,0
2,Transportation Mode,Task Detail,0.5827890038490295,0.25,0.9999999958776927,1
2,Transportation Mode,Task Transportation Mode,0.523779571056366,1.0,0.9999999958776927,1
2,Transportation Mode,Task Carrier,0.5512742400169373,0.25,0.9999999958776927,0
2,Carrier,Multimodal Transportation Task,0.6967978477478027,0.25,0.7615941559557649,0
2,Carrier,Task Detail,0.4249367117881775,0.25,0.7615941559557649,1
2,Carrier,Task Transportation Mode,0.48667892813682556,0.25,0.7615941559557649,0
2,Carrier,Task Carrier,0.38201963901519775,1.0,0.9999726519818308,1
2,Multimodal Transportation Task,Task Detail,0.8190996050834656,1.0,0.6837416291236877,1
2,Multimodal Transportation Task,Task Transportation Mode,0.7791256904602051,1.0,0.8094470500946045,1
2,Multimodal Transportation Task,Task Carrier,0.8173916339874268,1.0,0.9999726519818308,1
2,Task Detail,Task Transportation Mode,0.5696369409561157,1.0,0.7811130583286285,0
2,Task Detail,Task Carrier,0.43496960401535034,1.0,0.9999726519818308,0
2,Task Transportation Mode,Task Carrier,0.555752694606781,1.0,0.9999726519818308,0
3,Warehouse,Goods,0.7396377325057983,0.143,0.9999999958776927,0
3,Warehouse,Loader,0.6943722367286682,0.25,0.9640275800758169,0
3,Warehouse,transaction record,0.6145585179328918,0.25,0.9640275800758169,1
3,Warehouse,good transaction record details,0.5939890146255493,0.25,0.9640275800758169,0
3,Warehouse,stevedore-transaction record,0.480524480342865,0.25,0.9640275800758169,0
3,Goods,Loader,0.41020888090133667,0.25,0.9999999958776927,0
3,Goods,transaction record,0.3471069633960724,0.25,0.9999999958776927,0
3,Goods,good transaction record details,0.35145360231399536,1.0,0.9999999958776927,1
3,Goods,stevedore-transaction record,0.28405290842056274,0.25,0.9999999958776927,0
3,Loader,transaction record,0.4264286160469055,0.25,0.480759859085083,0
3,Loader,good transaction record details,0.4384618401527405,0.25,0.474268339574337,0
3,Loader,stevedore-transaction record,0.34878411889076233,0.25,0.4863792760297656,1
3,transaction record,good transaction record details,0.19715198874473572,1.0,0.8997325301170349,1
3,transaction record,stevedore-transaction record,0.15190839767456055,1.0,0.8663890063762665,1
3,good transaction record details,stevedore-transaction record,0.1810961365699768,1.0,0.807537853717804,0
4,Customer,Service Plan,0.8546680212020874,0.25,0.9999999958776927,0
4,Customer,Subscription Record,0.6509047150611877,0.25,0.9950547536867305,1
4,Service Plan,Subscription Record,0.6888258457183838,0.25,0.9999999958776927,1
5,Service,User,0.72547847032547,0.25,0.9999999958776927,0
5,Service,Service usage record,0.6576632857322693,1.0,0.9999999958776927,1
5,User,Service usage record,0.5886141061782837,0.25,0.9999999958776927,1
6,project,developer,0.7394288182258606,0.25,0.5519815245204083,0
6,project,project progress,0.6858818531036377,1.0,0.9999999958776927,1
6,developer,project progress,0.7099966406822205,0.25,0.9999999958776927,1
7,Advertising Client,Advertisement,0.8716917037963867,0.333,0.197375320224904,1
7,Advertising Client,Client Broadcast Record,0.8030635714530945,1.0,0.7283990383148193,1
7,Advertisement,Client Broadcast Record,0.8247548341751099,0.25,0.197375320224904,1
8,Equipment,Equipment Maintenance,0.857282280921936,1.0,0.9890274022010992,1
8,Equipment,Maintenance Personnel,0.857282280921936,0.5,0.9999999958776927,0
8,Equipment Maintenance,Maintenance Personnel,0.857282280921936,1.0,0.9999999958776927,1
9,Candidate,Voter,0.8953626751899719,0.5,0.799367368221283,1
9,Candidate,Voting Record,0.8953626751899719,0.333,0.69215127825737,1
9,Voter,Voting Record,0.8953626751899719,0.5,0.8132832050323486,1
10,Member,Meeting,0.8077755570411682,0.333,0.7335687130689621,0
10,Member,Meeting Participation,0.626929521560669,0.25,0.7098447382450104,0
10,Meeting,Meeting Participation,0.6484878659248352,1.0,0.8973266184329987,1
11,Farm,Equipment,0.6493015289306641,0.25,0.8853516482022625,1
11,Farm,Operator,0.5422473549842834,0.25,0.5800480991601944,0
11,Farm,Maintenance Record,0.6617634296417236,0.25,0.5839657783508301,0
11,Equipment,Operator,0.7922901511192322,0.1,0.8853516482022625,0
11,Equipment,Maintenance Record,0.7922901511192322,0.125,0.8853516482022625,1
11,Operator,Maintenance Record,0.7922901511192322,0.5,0.584663525223732,1
12,Warehouse,Product,0.8820781111717224,0.333,0.9640275800758169,0
12,Warehouse,Product Circulation Record,0.6197428107261658,0.25,0.9640275800758169,1
12,Product,Product Circulation Record,0.3734505772590637,1.0,0.6824811100959778,1
13,Weather Station,Meteorological Data,0.9190487861633301,0.25,0.7841757535934448,1
13,Weather Station,Subscription Data,0.7011981010437012,0.25,0.5935410931706429,1
13,Meteorological Data,Subscription Data,0.7123037576675415,1.0,0.7181074917316437,0
14,Irrigation System,Plot,0.8669761419296265,0.167,0.5622029602527618,0
14,Irrigation System,Irrigation Record,0.7662817239761353,1.0,0.8457284569740295,1
14,Plot,Irrigation Record,0.8187668323516846,0.25,0.5269026719033718,1
15,Plot,Pest and disease,0.871307909488678,0.25,0.5203036908060312,0
15,Plot,Employee,0.2222706377506256,0.25,0.5879300758242607,0
15,Plot,Monitoring record,0.7598645687103271,0.25,0.5480813384056091,1
15,Pest and disease,Employee,0.459453821182251,0.25,0.5775736644864082,0
15,Pest and disease,Monitoring record,0.7598645687103271,0.333,0.5271163675934076,1
15,Employee,Monitoring record,0.3912201225757599,0.25,0.5934135615825653,0
16,Farm,Plot,0.8864257335662842,0.25,0.6591281592845917,0
16,Farm,Planting Plan,0.8357753157615662,0.333,0.7051325738430023,1
16,Plot,Planting Plan,0.8864257335662842,0.2,0.5842851251363754,1
17,Worker,Workshop,0.472917377948761,0.25,0.6729503273963928,0
17,Worker,Raw material,0.6537621021270752,0.167,0.5881898105144501,0
17,Worker,Product,0.6537621021270752,0.111,0.6451896876096725,0
17,Worker,Product processing task,0.4311155676841736,0.25,0.6334983110427856,0
17,Worker,Worker processing product,0.39552849531173706,1.0,0.7997859716415405,1
17,Worker,Raw materials involved in product processing,0.4413919448852539,0.25,0.5293089114129543,0
17,Worker,Workshop raw material management,0.48816511034965515,0.25,0.5713120102882385,0
17,Workshop,Raw material,0.7299153208732605,0.2,0.6343979686498642,0
17,Workshop,Product,0.7930961847305298,0.111,0.6548842191696167,0
17,Workshop,Product processing task,0.5148876309394836,0.25,0.6467544436454773,0
17,Workshop,Worker processing product,0.5249955654144287,0.25,0.6642506420612335,0
17,Workshop,Raw materials involved in product processing,0.5135085582733154,0.25,0.5761450082063675,0
17,Workshop,Workshop raw material management,0.5073643326759338,1.0,0.8057247400283813,1
17,Raw material,Product,0.6537621021270752,0.25,0.6863882541656494,0
17,Raw material,Product processing task,0.3980700969696045,0.25,0.6481269747018814,0
17,Raw material,Worker processing product,0.41130274534225464,0.25,0.6364514231681824,0
17,Raw material,Raw materials involved in product processing,0.32626819610595703,1.0,0.8785839080810547,1
17,Raw material,Workshop raw material management,0.45266252756118774,1.0,0.8222377300262451,1
17,Product,Product processing task,0.42228958010673523,1.0,0.7827444076538086,1
17,Product,Worker processing product,0.45278266072273254,1.0,0.6990361213684082,0
17,Product,Raw materials involved in product processing,0.3963150382041931,1.0,0.655810222029686,0
17,Product,Workshop raw material management,0.5485790371894836,0.25,0.5794166252017021,0
17,Product processing task,Worker processing product,0.4706515073776245,1.0,0.8567141890525818,1
17,Product processing task,Raw materials involved in product processing,0.4695058763027191,1.0,0.7473269701004028,1
17,Product processing task,Workshop raw material management,0.620447039604187,0.25,0.6427311599254608,0
